unicodeID,char,count
33,!,72
34,"""",70
35,#,186
36,$,176
37,%,217
38,&,205
39,',33
40,(,98
41,),98
42,*,142
43,+,46
44,",",33
45,-,32
46,.,16
47,/,76
48,0,158
49,1,79
50,2,155
51,3,138
52,4,119
53,5,158
54,6,166
55,7,95
56,8,190
57,9,168
58,:,32
59,;,29
60,<,77
61,=,64
62,>,77
63,?,119
64,@,252
65,A,153
66,B,172
67,C,134
68,D,156
69,E,143
70,F,120
71,G,150
72,H,140
73,I,77
74,J,102
75,K,170
76,L,95
77,M,224
78,N,153
79,O,164
80,P,126
81,Q,213
82,R,172
83,S,162
84,T,103
85,U,115
86,V,139
87,W,224
88,X,167
89,Y,126
90,Z,140
91,[,92
92,\,93
93,],92
94,^,24
95,_,18
96,`,16
97,a,122
98,b,137
99,c,98
100,d,144
101,e,113
102,f,98
103,g,172
104,h,126
105,i,73
106,j,93
107,k,143
108,l,77
109,m,143
110,n,105
111,o,113
112,p,138
113,q,130
114,r,82
115,s,113
116,t,75
117,u,110
118,v,95
119,w,150
120,x,115
121,y,111
122,z,107
123,{,62
124,|,36
125,},62
126,~,51
